words,sentiment_coefficient
alert,-52.877151020381135
whats,-50.27978615987847
tried,-54.415997109703504
loan,-51.73028822996753
oh,-55.47124713846766
sure,-55.44701608045706
wrong,-51.19732097130155
tag,-44.43747388975921
didnt,-55.984389039417856
Lol,-59.26634727843485
said,-54.711606675217915
Happy,-53.096059579250415
customer,-54.31082940462669
remain,-54.06251679396392
stamp_duty,-40.01026209939101
buy,-55.065435673957765
dem,-54.32570194990812
bro,-55.61978572854773
big,-55.48237200748035
wish,-55.24922137467701
Lagos,-53.97368110818253
months,-54.61002566972181
great,-54.91735924561399
login,-49.75568741282896
Congratulations,-53.28594705687014
think,-55.00159537845778
waiting,-51.50081716060782
making,-53.80100439424231
resolve,-46.65578206224091
Ill,-54.95190734393765
online,-52.838332307896934
LawalOlabisi4_abegapp,-53.521465167708655
debit_card,-57.27797983740271
acct,-46.381285775563015
video,-25.42819328718278
link,-46.03395340616326
level,-54.08755933401179
10k,-53.55006600386794
nah,-52.165574485220745
network,-50.421363491030945
problem,-57.386767387892384
another,-52.42869351049244
location,-22.746977115470234
since_last,-50.010861203911304
oooo,-57.058336933140986
Dont,-51.61453788634786
services,-51.675546092000516
could,-52.49616451520903
stream,-15.098531219148827
bad,-51.00334689543043
times,-56.466252913207335
easy,-49.48033766840654
ID,-44.945773173039065
Open,-38.72776793786315
rest,-46.053084178987085
kudabankhelp,-46.39844776475427
ever,-53.51485639167088
week,-52.4143656017113
every,-55.18517981885177
received,-48.82412374005939
top,-46.82853216111812
assistance,-52.94091072068734
remember,-55.417764139972086
gift,-54.31755927465513
Account,-46.284867842781516
balance,-54.952128214610404
April,-49.17851459262103
check_dm,-41.86584876979077
4,-49.05171692506132
ValentinesDay,-56.37961741120367
nice,-60.050719478967665
banking_V,-55.894853028142414
UnclePamilerin,-52.318559339197996
attention,-36.25862569352562
hear,-53.9970293066333
find,-53.489608415745785
man,-57.9595913491041
smile,-46.22365210276515
turn,-50.66415483843603
next,-57.075063111771584
used,-55.376624391013074
notice,-48.12691096765602
error,-51.650042600820925
run,-56.00485823789229
Sir,-56.07684663486326
many,-54.71569560871723
Good,-33.89942485840184
Kuda,-56.8550455794797
code,-56.38105214115624
transaction_limit,-43.357397641428655
able,-53.914782450715336
cenbank,-49.485027034541034
appreciate,-54.34168526168778
zuwerah,-60.15917546249454
two,-57.69384619442938
provide,-49.26955656091198
self,-52.648044075374536
must,-55.184228030860226
beg,-53.34956488683743
stress,-56.30618231099044
respond,-54.04837663052751
Download,-48.70718578401672
daily,-52.81187956443066
concerned_experience,-33.98135546703543
cash,-45.85688439349047
access,-51.63371821443284
youre,-52.28206586883613
Kindly_send,-45.16376570798894
review,-51.741146055083654
Whats,-55.210792350478016
reaffirm_commitment,-28.157769525909448
refer,-48.24012768181422
naira,-55.981731808568064
TheRealCEOAmber,-56.399106627773754
Even,-55.08806616981571
mind,-59.86510809232187
bonus,-34.6880745383872
continue,-48.40634455333461
wetin,-55.58622623919791
TrueFlutter,-48.00185101371363
UBAGroup,-50.16094989098355
transfers,-53.39686938655872
ni,-54.39860139077892
sms,-43.0545210192003
SMS,-45.26717907760484
Bless,-57.549959568546
It’s,-58.539851069588565
challenge,-37.83738962425714
change,-57.986263448301216
one_day,-52.58288392450389
saying,-48.9997918833068
Please_informed,-55.62422455345538
Sunday,-20.14239124284792
someone,-52.361542224709616
opening,-54.066503248845656
profile,-39.58917634458065
VBankng,-39.4386290302293
pass,-51.89036361386285
talk,-52.352501321969854
night,-39.98515022217612
accounts,-51.04962805878128
Target_Savings,-42.63766950199197
BankBetterWithV,-56.29499551302041
withdraw,-55.64569213701864
far,-57.25081052441044
monthly,-37.571129482069246
Twitter,-55.61289770660144
yesterday,-53.46822036845587
resolution,-38.833551853911544
Use,-52.512797044624975
weekend,-54.84518304929341
available,-48.93397783768038
Check,-57.00910702211888
satisfied_services,-30.900286689685103
happening,-54.68777894029563
leave,-53.36758451392076
though,-44.00406500566014
utility_bill,-38.05263001301231
Johnnydrille,-42.95211480409634
abi,-54.36389776568487
notification,-47.58850606260635
QuidaxGlobal,-20.50772918602944
Done,-55.68042302359473
physical,-48.986501604046694
data,-56.120272634344666
CBN,-30.114581331044462
best_interest,-29.91846882128366
Since,-52.82331658205139
believe,-55.591312028430934
n,-56.64140483605144
NaijaPR,-59.34737361906043
KYC,-49.68519672885831
fix,-51.10359279892774
currently,-50.51490590912113
havent,-53.02714190306986
ago,-53.78521762287249
Una,-57.02136747275547
everything,-55.552111350047625
TheOladeile,-49.732234580315904
always_act,-27.664277582422834
Good_afternoon,-4.3669466822999885
lets,-54.25942153181739
full,-43.56933699663792
urgent,-56.312078070026246
happen,-53.039082245283936
drop,-55.39210003966332
B,-52.524293390761
Hello_delighted,-31.188373805843124
towards,-36.05532507901577
boy,-54.80438898678833
ready,-55.69962962673236
lucky,-49.481864448720344
N100k,-15.567538555238023
stop,-57.7054997042159
SportyBet,-50.36954163845297
U,-55.3808763419817
bankbetterwithV,-3.476752939594946
turn_SMS,-31.337687744052523
50k,-57.05941499999309
wait,-54.7383850948139
Thank_contacting,-49.900704219568084
listen,-53.62387798768877
BankBetterWithV_DomorewithV,-40.12827286759218
customer_care,-53.5731570006945
attend,-56.622421998318174
soap,-57.76771406221503
opportunity,-54.589899740470436
sending,-56.78219821564592
de,-55.50828918401965
J,-57.73968748249499
create,-53.46155177311362
mine,-58.26223387426638
school,-54.29132015948084
swear,-57.75958429287244
log,-54.975544595888444
screenshot,-48.545507637167134
getting_married,-54.43475728540031
b,-59.34269332442725
failed,-48.21975334702022
DW3663,-46.214514768215466
show_love,-57.81412539572387
However,-42.74871422057834
reason,-50.929503439911066
myaccessbank,-49.07328584798757
Happy_birthday,-55.83950539770327
unable,-55.49536422829788
See,-56.237923046584086
what’s,-54.552221634007076
inside,-51.31060097661427
Vbankng,-51.761107576897814
One,-53.912176308043584
guy,-54.76481445558569
however,-30.369515182871922
dont_know,-56.302787308782584
deposit,-49.45082517048197
notifications,-33.929164700576884
Jazzy,-51.604277256900204
Try,-58.89363459851031
new_month,-52.05752964024118
v,-55.0817376047358
forget,-51.576373078183465
close,-58.98235024930846
target,-48.394199459677424
told,-56.15568287291737
fast,-56.984882955677335
aprokodoctor,-40.37463374389828
tomorrow,-48.01386271869538
apologize_inconvenience,-43.37444839318593
airtime,-49.25211588708762
telling,-54.95463987001264
platform,-50.76308686070438
5,-51.44979053651666
glad,-55.084862904160204
thats,-57.28487063343531
might,-52.707670058528876
may,-38.93441524375545
register,-54.0806180977651
you’re,-56.496403908365686
actually,-58.319903097003404
picture,-47.52220425930744
iCONsFest,-51.23866099350482
fan,-39.9892539230755
Kindly_check,-36.42376959301035
feedback,-53.55257521227806
whatareyousavingfor_Vbanktargetsavings,-46.54671986884721
upgraded,-56.091181564668055
bolanle,-59.41555121533609
click,-44.64955924413598
please_informed,-46.63060823612166
VFDMFB,-57.008786506281325
soon_possible,-49.18934218173726
via_dm,-49.82158374044041
rain,-42.87155840241056
team,-48.87415372377945
almost,-56.80267728865115
Let,-59.54466898136171
kuda,-55.12071248701743
chop,-56.01682412249089
new_year,-44.900607041387495
IamMagixx,-51.11814596549263
increase,-50.42284943287238
giving,-53.44003272857647
Oga,-55.70095355488404
introduced,-36.14427356298481
X,-46.17072509336006
side,-53.664303956023005
Sapa,-53.9775055264649
Hey,-53.378443928673356
collect,-54.9053632576268
feel,-53.91398660127908
luck,-52.21187328882245
different,-52.47984259212028
win_giveaway,-49.62154369503739
customer_service,-58.963990429905735
New,-48.92942347382025
Abi,-56.946701683098105
add,-55.4890520321659
verify,-44.20410985131326
move,-54.80729610750844
cards,-53.58882944513295
since_yesterday,-55.50660094759598
Send,-52.22285241513985
ShortestAhmed,-38.71767910113274
miss,-58.35272293734447
Oh,-56.410464650486986
cause,-58.13340063477225
9,-34.789164840235095
coming,-56.931219136711256
given,-35.69864694329936
June,-52.256004627040305
mean,-58.706405860073495
r,-40.096616454754475
jazzy,-53.42099100758928
world,-40.525691819425575
tire,-55.1571314569837
option,-47.13269235108504
stand,-47.84595519163587
documents,-54.862511506108895
get_20,-37.59074125035148
Nice,-48.99332833100514
within,-46.79465460708787
taking,-49.11144289796177
debit,-55.068062520914715
welcome,-54.449323964917646
zero,-53.49299503799743
Click,-36.893028790040276
Thompson,-31.71821265666176
lost,-48.48612094102424
upload_valid,-39.31291002018092
5k,-53.34417335912615
play,-49.06549371623402
Wow,-56.718715981933016
V_side,-56.763682708756626
hard,-56.044568110737096
lot,-58.75410409551753
ATM_card,-52.6023760140826
me,-61.01839953348915
tired,-56.5439601430473
verified,-54.87344744668282
process,-51.59920432108702
refund,-56.62198909078049
check_DM,-54.681801660034736
ATM,-54.22116679197138
downloaded,-53.39151017116425
provided,-46.27438252311275
banking_experience,-51.090267447310076
15k,-49.93463683161321
less,-49.04325871228327
Well,-58.90752883861386
things,-53.79510596103227
face,-54.47972053144173
loyal,-36.912762864669034
doesnt,-56.616044391178896
N,-62.11281929254799
earn,-48.47699332920914
avoid_SMS,-33.07810456915734
later,-54.60468311152713
Help,-53.70599514431396
payment,-51.196582343698964
mum,-57.51856232595729
Cc,-11.2765270665721
following,-52.49697396573254
last_year,-57.68530464869779
mrmacaronii,-49.50827604195943
Okay,-57.399224241616906
Hello_sincerely,-45.1982181249155
recent,-36.006255172048995
Thats,-61.15671330078721
avenue,-28.58341882001461
Best,-53.76283702980492
years,-51.089901766445585
MorrisMonye,-59.71425702739599
look_side,-53.30980877463368
sorry,-49.47767334150263
part,-54.64251222887326
Ok,-56.81782396372874
PiggyBankNG,-50.26381620550757
dear,-58.796055410453704
set,-56.206479743863675
BVN,-52.49176711408967
LadiPoe_fireboydml,-41.33899802300924
highest,-15.516978347122866
moment,-54.90170159224642
sleep,-43.67363246459423
give_away,-54.19102317435447
Go,-57.58970759023728
logo_background,-17.339484812281327
Wetin,-55.101545426081685
blessings,-54.60816642203129
safe,-53.8472655279594
others,-53.82156790668762
Good_evening,-5.691850980642847
country,-46.268837212527835
asking,-53.6225393400619
assured,-42.55035061327065
receiving,-51.63870340999084
broke,-53.97236327670146
post,-40.052073064315586
responded,-52.731718041420926
reversed,-47.360755258540685
kind,-54.360010749724545
introducing,-54.35596434948781
withdrawal,-58.91654947424412
May,-56.67866501158739
Kindly_share,-45.40665332874787
ticket,-53.66235950077204
K,-49.581892717047516
sapa,-54.33967245236648
chance,-57.350802225169744
informed,-54.965631332649586
finally,-57.93561860752525
finish,-57.94889831872543
OrijinNigeria_trovefinance,-54.304745345364275
AbeG,-37.326878130810556
fee,-40.66819195971381
late,-52.04744216494793
date,-55.663851518375665
kids,-58.307649479842745
twice,-55.87377430322896
uploaded,-54.01369662114067
dis,-54.301120346170414
regret,-54.232991832342734
January,-45.69701361728897
house,-54.86661902833834
experienced,-36.755894689922016
Day,-53.73069132373728
upload,-56.2203804931897
2k,-58.54025733926901
around,-55.08012790054318
anytime,-54.692400948569926
retweet,-46.217601109066734
inform,-47.11838441214018
enough,-54.34211936407407
answer,-56.35236787742843
HantecAfrica,-47.80580579695821
virtual,-52.439503335287604
reset,-45.56909067663049
friends,-52.29343792192137
offer,-54.73605674450203
little,-56.07082419736194
10,-52.99605843331252
confirm,-52.33812796678367
20,-47.6964653746897
select,-44.75043018414735
digital,-52.4488055753463
songs,-51.16492682478875
Nice_one,-53.98115826330259
virtual_card,-47.93846731768149
OgbeniDipo,-54.70693513242622
vbankpicture,-23.667123744911695
Get,-51.61711445875127
credited,-52.747528417415104
Shey,-54.99812877201886
attended,-50.252435834976154
ASAP,-53.11373678851723
showing,-55.50187131090285
registered,-52.738719381608085
ambassador,-53.50214346337627
asked,-54.373595201035386
wasnt,-59.33170281074248
mobile,-53.31629222780768
understand_concerns,-35.605075778167254
tweets,-52.17307846393575
line,-54.3789350535516
Donjazzy,-43.59542450086045
wonderful,-59.06370384840577
Dem,-50.66462458931963
feature,-54.89858973201829
R,-39.68089223909597
chat,-50.56621126563687
rent,-52.07643078242264
increase_daily,-42.49281800996965
trust,-54.693989211133626
messages,-52.897769628864275
yall,-57.27267913616416
keeps,-54.4680253502788
deliver,-54.32176005097044
enter,-58.95330271424526
mad,-60.43455476351774
2020,-54.45015230462024
updates,-33.43921359394757
steps,-49.33204515855087
gotten,-55.818092921849605
song,-56.284493881552315
seen,-58.917250120428015
requested,-50.933994144480415
Lets,-55.5635443939585
everyone,-53.53512104599559
2022,-54.43074960828743
features,-55.790181771792
away,-57.338268048036795
logo,-40.509041279154175
needs,-53.56425938123135
brother,-59.22488408332948
seeing,-60.48792950937681
music,-47.81095422874325
successful,-56.56165296984493
USSD,-48.11739751238643
album,-40.36604390026748
mi,-57.996166071859165
left,-55.05102283156473
dissatisfaction,-35.60875191129148
introduce,-54.38823122338531
24_hours,-37.000901783825576
end,-55.4021514489128
o,-54.54617958029519
forgot,-49.466018711531746
head,-54.31838410388172
Oya,-57.74057112561896
Top_10,-14.81262742007143
tho,-57.11975184263135
alatng,-56.943041978787996
huge,-47.92565128059186
rate,-52.83327705818354
biko,-57.72428079367776
couldnt,-50.49833723730815
won’t,-56.27407936476427
Thank_choosing,-54.420033308687024
benefits,-43.361399635603405
kill,-55.79222898176682
Like,-57.39909886106812
user,-53.03899227993051
true,-58.26836801533148
200k,-54.20940928245311
FirstBankngr,-52.280165101621336
chance_win,-46.46225799352577
Love,-58.08946958594681
blessing,-57.5472810862039
allow,-52.960132509581925
acc,-44.33235514571314
assure,-27.810709927658824
whatareyousavingfor_vbanktargetsavings,-46.392027541986096
fully,-44.5393844454774
carry,-56.93533758492775
donjazzy,-53.347884601379505
TrueFlutter_Done,-35.90841407138503
Padonjosh007,-50.057909335719074
fine,-55.177418190045444
asap,-54.33152990450232
NIN,-50.699737242238136
twitter,-55.68568694032509
kon10dr_MTNNG,-22.17113952746607
needed,-56.787898077256294
slide,-44.65927730056688
means_identification,-40.976480918507605
reversal,-43.59286531185986
pray,-57.95356891846315
isnt,-55.21926676779816
wanna,-40.29525115713984
theflutterwave_OrijinNigeria,-46.145647055019886
updated,-54.337246474349065
reliable,-55.991470643285574
dream,-54.871110446881744
minutes,-51.92623752686654
mandated_follow,-26.881740809584137
active,-56.01285166928914
everyday,-54.58027008986879
pick,-51.493282259050105
called,-53.423868693559186
What’s,-56.10685444168356
6,-54.13053567519142
Banks,-54.482643645065615
1k,-55.88906091977475
committed_ensuring,-29.53098976432991
Val,-59.56023652025055
real,-54.58809359580506
complaint_duly,-25.19949733353009
Amen,-56.04353318544548
verification,-57.62374014256354
thesheddyking,-41.10879282523565
mails,-56.316344795975155
old,-55.59776745449849
20_interest,-45.83102448932495
amazing_sweet,-21.62884358301603
means,-53.77566669168027
past,-52.811571790387354
run_thru,-20.35411692504144
sweet,-54.21528558364709
lie,-55.76216118628859
delivery,-52.906180113691015
PlayCODMobile,-20.353364019809952
Welcome,-58.41092370276647
taking_picture,-18.776988372200424
single,-54.361248622848755
immediate,-30.044493647867522
hand,-56.72671964637955
complete,-53.36632002549664
jam,-45.70696844355321
Album,-31.93559162081002
cool,-56.88184724405097
worry,-56.62459073044391
laptop,-52.85024136323495
Follow,-52.30983256014924
useless,-54.87216072569283
saw,-56.15743141580614
aza,-54.45324772106411
ooooo,-53.501216751282236
resolved_Kindly,-28.413203383695574
watch,-55.99812035881716
19,-36.979899497541055
nd,-51.874298563237645
gree,-56.67336798495283
die,-38.07406165978168
hold,-54.80573034385911
heard,-57.09860575893395
thought,-56.50323993845808
solve,-57.39301600404598
ZenithBank,-61.740505352814274
expect,-47.50916860773661
wanted,-55.01162011564618
frustrating,-54.21293908814726
question,-55.2371951896253
sign,-52.91518314312921
advance,-55.5332344637225
guess,-56.02068852061145
simply,-55.884503222098616
noon,-20.473560452758147
turning,-30.351675816394252
celebrate,-55.938079560483295
caused,-49.4183145756155
complain,-58.56930341486057
CODMAFRICA,-20.289454399513858
okay,-54.604653673277596
remove,-55.85036323816193
ensure,-52.728246116328926
3pleA24,-32.70779427331667
davido,-58.190049723706345
didn’t,-53.33461404905746
500k,-45.92973425285185
went,-53.78107130228805
Sha,-55.89150947481882
Got,-57.1353877166809
Come,-57.063503938241325
walk,-53.40394545044809
you,-55.39551956817227
Veelager,-47.276490181649315
now,-50.273280192075674
plan,-54.89822014143906
wahala,-55.495041795274446
Big,-51.41011378165427
JohnDFinest,-58.64425397497581
con,-51.175517486643585
wedding,-56.7036531934838
invest,-53.630637386700556
nonsense,-53.80298653136209
else,-59.63518525092252
weeks,-52.058325170930466
supportvbankng,-52.12412060640148
plenty,-57.01728236770499
plus,-51.31222061109942
stuff,-53.67323324185234
instablog9ja,-34.463427271208836
bring,-55.01069592348892
return,-54.72190148172984
comes,-56.01516622942351
empty,-52.29032437974556
dat,-57.66854320515652
per,-54.53600013864043
brand,-57.78396259011124
paid,-54.672271839723756
OnlineBanking,-38.82382432018688
Following,-54.2293196025581
funding,-57.699230140922786
deducted,-55.53102657430205
everywhere,-49.41541707104436
deserve,-57.48796353735933
Target,-47.86892669159817
heisrema,-51.86978038925855
directive,-31.704694018122453
JAZZY,-1.2557428761071394
1ncognitogaming,-18.092106233568902
nau,-56.551921177731074
pleased,-48.878806453576544
200222,-15.261822860880109
1st,-48.58904141893845
experiencing,-53.639444100228445
suppose,-55.098223199342144
least,-56.096631649957395
experience_Kindly,-50.60774162753638
Guys,-53.71381216292026
unnecessary,-54.93955220131022
POS,-53.433553099587606
ground,-58.24895124641136
Donjazzyfan4,-53.957129533968335
Abisola,-50.97553371519251
too,-59.252726092892914
lol,-59.50756301302954
student,-57.56282908102703
anymore,-55.34676278043845
joined,-55.00269044939894
shey,-55.57381691731311
lucaz64611641,-40.644275126589875
information,-57.97241921935042
labiisbakery,-42.30449214839864
makes,-53.70725616995871
live,-55.32079890625222
alone,-56.936478552979075
mom,-58.297594839775535
meet,-57.77056676725085
touch,-53.409265158590216
Instagram,-55.95382124641363
project,-33.771557125356864
haven’t,-56.26494218844452
fun,-55.46512840400729
theres,-56.8076246887998
home,-57.31093624987667
cowrywise,-43.434219431346534
Today,-57.629721384006814
care,-56.30608199239587
passport,-53.297597272475265
chippercashapp,-46.50719890548675
calling,-55.308763255291694
ebubeikeanyi,-46.06726001131021
100,-54.439107066527775
koredebello,-23.71753718824802
dash,-54.58521783295659
friend,-56.531511798062155
okoasabi,-40.74044024085917
proud,-56.05481269767466
likes,-32.02630175960256
PecuniaMoney,-40.746605485966086
iamobaino,-47.80456801274833
Id,-56.24462008869721
apologize,-45.315898086810726
“likes”,-16.182376568759736
shame,-54.1040780157008
learn,-47.66220535784003
stay,-55.27715973250397
address,-49.24805704146104
sent_message,-36.31542070286299
Keep,-53.731238828917895
DigitalBanking,-37.44250677680422
fool,-56.05270728325884
sort,-53.8746513948702
village,-58.18861577118647
Hehizzy1,-50.64783868873178
Login,-46.66956053071896
Save,-50.06743078967306
VFDGroup,-50.76622814596735
alerts,-41.41101486112251
million,-57.66625435637921
point,-58.07849615268839
winning,-48.599989685444164
lose,-55.65668135640081
wa,-52.52481027766074
story,-51.97838280708811
definitely,-54.762682108266546
wishes,-54.35493530843539
wemabank,-44.938139534681255
limits,-55.16768633201309
promptly,-49.304128002673
wins,-33.80642833472132
Year,-38.931496189538265
annoying,-58.897352988520105
gonna,-60.01120009013672
belovedtimi,-49.07726304415579
initiate,-37.753504668241696
word,-47.11577020813005
gave,-55.04055919236379
job,-57.460325927207734
sabi,-52.81626860923543
WhatsApp,-54.60886971610404
Cant,-53.72240988237113
heart,-55.794858263543034
k,-49.91226380954621
regards,-54.8375980771754
First,-40.623759589093346
due,-54.975252990265695
become,-53.06739772635269
providing,-55.96162626089206
decided,-56.95062304344957
aishaonigold,-40.4812599768751
office,-52.799698562129166
Irunnia,-34.46965359544869
final,-35.521187447789636
doesn’t,-56.28783272028324
refused,-55.482038997160615
notch,-54.46308031967071
2021,-56.22839841787854
Nigerian,-56.99345770558803
crayonthis,-56.30436606904258
ayonapson,-25.172453397949084
apply,-52.236312621482554
charged,-52.939744537895095
missing,-55.46780612064547
beautiful,-58.237528201930424
you’ve,-49.813265706526494
Also,-54.083907840378565
may_caused,-38.5928739338049
Vfd,-56.654913722885695
baby,-51.45726986368435
comment,-55.17250190794402
Nothing,-58.25891594102495
forever,-53.07187130175503
future,-61.19169328910647
cut,-52.74332390658273
Mazigburugburu1,-8.43068911111043
feelings,-51.22605644517232
worth,-55.16034810751771
dangerous,-33.37437421968522
reverse,-54.190033737130555
cost,-54.351830763752034
platforms,-55.17523083384017
type,-47.0011377476814
dm_representative,-32.783539783906846
Still,-56.016211382036005
Dukekanbai,-52.738814741600855
urgently,-54.04036610531093
seunaby,-45.36842543471245
supposed,-60.178213834458845
enjoying,-54.7882172014438
Win,-27.070841918539838
clear,-52.77776547232961
Sorry,-59.966422813766556
came,-54.33730314562854
page,-53.46656217267307
seamless,-47.274678192054985
pin,-50.894090934084815
works,-55.7548373721375
Money,-57.35323945721408
girl,-55.48970235597184
Zero,-50.54420099565497
roundabout,-24.994919836379175
Cheers,-55.2845650767357
Select,-43.77556561086484
evening,-57.87515079258311
ussd,-56.3487498035319
bayi,-54.655164426958656
5th,-9.201563748423172
correct,-60.108907281621164
emails,-56.51334392065185
Maybe,-55.381943794782934
loans,-57.58301802185479
downtime,-34.39270613484447
imperfectgirl3,-45.99590872538708
Jesus,-57.60166009736964
joy,-55.77570551727279
Biko,-57.125211415740296
IamDrSID,-23.05991601065199
